Code	Type	Message	Explanation	Solution	Property
3036	INVALID	The Description format is invalid.	Your original transaction registration should always contain a description field which should contain a brief description of the transaction being performed. This can be used to describe the goods being purchased or the nature of the transaction.	This field should only contain alphanumeric characters and must be 100 characters or less	
3037	INVALID	The NotificationURL is too long.	The Notification URL will only ever be required when using the Server solution and will allow Sage Pay to communicate with your server.  Your Notification URL must contain a fully qualified domain name (beginning with http:// or https://) and be less than 255 characters in length.	Please check your code to ensure that your Notification URL does not contain more than the maximum number of characters.	
3038	MALFORMED	The RelatedVendorTxCode is required.	This system message is usually generated when your are attempting to action on an original transaction (such as a refund, void, repeat, release etc) and the details of the original transaction (RelatedVendorTxCode) has not been provided.  The issue is normally associated when you are attempting to automate these actions.  If you are received this system message when using the My Sage Pay admin area, we would recommend you view the system monitor page to ensure there are no issue or alternatively, contact our customer services team.	The RelatedVendorTxCode should always contain the original VendorTxCode of the original transaction against which you are attempting to perform your REFUND, REPEAT or AUTHORISE.  It should contain no more than 40 characters consisting only of letters and numbers matching the value passed for the original transaction.  You will need to check your code to ensure that you are retrieving the correct value from your database before passing this through in the RelatedVendorTxCode field.	
3039	MALFORMED	The TxType or PaymentType is missing.	You are receiving this system message because your transaction does not include the TxType field when being posted to Sage Pay. You will need to check the Protocol and Integration guidelines for the solution that you are using  to ensure that the correct value is being passed in the TxType field.  You will be able to locate the required Protocol and Integration guidelines for each solution under the Downloads section on the Sage Pay support web site.	This field is compulsory and must be passed.  The TxType field should always contain the type of transaction request that you are wishing to perform including values such as PAYMENT, DEFERRED, AUTHENTICATED, REFUND etc.  Please refer to the Sage Pay Integration and protocol guides to ensure this is being passed.	
3040	MALFORMED	The RelatedTxAuth number is required.	This system message is usually generated when your are attempting to action on an original transaction (such as a refund, void, repeat, release etc) and the authorisation details of the original transaction (RelatedTxAuth) has not been provided.  The issue is normally associated when you are attempting to automate these actions.  If you are received this system message when using the My Sage Pay admin area, we would recommend you view the system monitor page to ensure there are no issue or alternatively, contact our customer services team.	The RelatedTxAuthNo field should only ever contain the TxAuthNo (otherwise known as the VPSAuthCode) for the original transaction to which you are performing this REFUND, REPEAT or AUTHORISE.  It should be a number and the value should match the value that was passed back to you by Sage Pay when the original transaction was completed.  You will need to check your code to ensure that you are retrieving the correct value from your database before passing this through in the correct field.	
3041	INVALID	The Basket field is too long.	The Basket field can contain a maximum of up to 7,500 characters and you will get this system message if you are sending more than 7,500 characters.	You will need to check your code to ensure that you are not passing more than the maximum value of 7,500 characters and that there are no additional spaces being passed as these will be determined as additional characters.	
3042	INVALID	The CustomerName field is too long.	The CustomerName field can contain a maximum of 100 characters and you will need to check your code to ensure that you are not sending more than this.	You will need to check your code to ensure that you are not sending more than the maximum value of 100 characters.	customerFirstName
3043	INVALID	The eMailMessage field is too long.	The eMailMessage field can contain a maximum of 7,500 characters.  The value which is being sent accross in this field is more than this.	You will need to check your code to ensure that you are not send more than this.  It may also be worth checking to make sure that there are no spaces being passed (as this will be considered as a character) and also that the next value within the protocol is being separated by an ampersand (&) within your transaction registration.	customerEmail
3044	INVALID	The VendorEMail is too long.	The VendorEMail field can only ever contain a maximum of up to 255 characters and if you pass more than this within this field, you will receive this system message.	You will need to check your code to ensure that you are not sending more than 255 characters within this field.	
3045	MALFORMED	The Currency field is missing.	The Currency fields should only ever contain the 3-letter ISO 4217 codes and a valid currency code type that has been set up on your Sage Pay account.  E.g. GBP for UK Sterling, USD for US Dollars and EUR for Euros.  If you do not provide this value, you will receive this system message.	You are not passing the currency field through with your transaction.  The currency field will dictate what currency is being processed through your Sage Pay account and must be included in the post.  The currency field can only accept the ISO - 4217 codes.  These are 3 letter codes that will notify Sage Pay of the currency for the transaction.	
3046	MALFORMED	The VPSTxId field is missing.	You would have received this system message if you have not provided us with the correct value within the VPSTxId field.  The VPSTxId value uniquely identifies a transaction to the Sage Pay system and if this value has not been submitted in full or this has been sent incorrectly formatted, you will be provided with this error message when the Sage Pay system attempts to validate it.	You will need to check your code to ensure you are submitting the correct value.  This value should be alphanumeric and 38 characters in length.  You should make sure that the VPSTxId you are supplying is the value which Sage Pay sent back to you with the original transaction.	
3047	INVALID	Invalid VPSTxId format.	You have not provided us with the correct value within the VPSTxId field.  The VPSTxId value uniquely identifies a transaction to the Sage Pay system and if this value has not been submitted in full or this has been sent incorrectly formatted, you will be provided with this error message when the Sage Pay system attempts to validate it.	You will need to check your code to ensure you are capturing the correct value being returned from Sage Pay and also that the VPSTxId you are submitting back to Sage Pay is correct.	
3048	INVALID	The CardNumber length is invalid.	This system message is only generated if you have integrated using the Direct method where you are collecting the card details to send across to Sage Pay.  If you have received this system message it it likely that you have not provided us with a valid card number within the CardNumber field.	You will only ever be required to provide us with the large numbers situated on the front of the customer's card and you will need to ensure that there are no spaces or hyphens being used as separator characters when providing us with this value.	cardDetails.cardNumber
3049	INVALID	The StartDate format is invalid.	This system message would only be generated if you have integrated using the Direct method where you are colleting the customers card details to send across to Sage Pay.  If you have received this system message, it is likely that you are incorrectly supplied the Start date.	The card StartDate value should always be presented in a MMYY format (a two-digit month followed by a two-digit year) and this should never include any separators such as a forward slash (/) or a hyphen (-).  The MM and YY values should also be valid month and year numerics, for example the MM values should only ever be between 00 and 12 and the YY values should only ever be between 00 and 99.  If a card StartDate value of 1509 was passed this would generate this error code.	
3050	INVALID	The ExpiryDate format is invalid.	This system message would only be generated if you have integrated using the Direct method where you are colleting the customers card details to send across to Sage Pay.  If you have received this system message, it is likely that you are incorrectly supplied the Expiry date.	The card ExpiryDate value should always be presented in a MMYY format (a two-digit month followed by a two-digit year) and this should never include any separators such as a forward slash (/) or a hyphen (-).  The MM and YY values should also be valid month and year numerics, for example the MM values should only ever be between 00 and 12 and the YY values should only ever be between 00 and 99.  If a card ExpiryDate value of 1509 was passed this would generate this error code.	cardDetails.expiryDate
3051	MALFORMED	The CardNumber field is required.	When sending your transaction registration POST to Sage Pay using the Direct solution you will always need to send a card number as you will be hosting your own payment page. You will receive this error message if we are not provided with the CardNumber field when you have POSTed your transaction registration.	This is a mandatory field an you will need to ensure that you are proviinge us with the large numbers situated on the front of the customer's card and you will need to ensure that there are no spaces or hyphens being used as separator characters when providing us with this value.	cardDetails.cardNumber
3052	MALFORMED	The ExpiryDate field is required.	You will receive this error message if you did not send an ExpiryDate field containing this value in your transaction registration POST.	The card ExpiryDate value should always be presented in a MMYY format (a two-digit month followed by a two-digit year) and this should never include any separators such as a forward slash (/) or a hyphen (-).  The MM and YY values should also be valid month and year numerics, for example the MM values should only ever be between 00 and 12 and the YY values should only ever be between 00 and 99.  If a card ExpiryDate value of 1509 was passed this would generate this error code.	cardDetails.expiryDate
3053	INVALID	The IssueNumber format is invalid.	This system message would only be generated if you are using the Direct integration method and the issue number field which you are submitting to us is incorrect.	All issue numbers must be entered exactly as they appear on the card, without spaces (either 1 or 2 digits).	
3054	INVALID	The CardType length is invalid.	This system message is only generated if you are using the Direct integration method and the card type field you are submitting to us is the incorrect length.	The card type field contain a value which specifies the card that is being sent to us.  You will need to check your code to ensure that the field is sending the correct code. Please ensure that you are posting this field with each transaction and that you use the correct value.  Accepted values for the CardType field are: VISA (Visa Credit), MC (Mastercard Debit and Credit), DELTA (Visa Debit), UKE (Visa Electron), SOLO, MAESTRO (Solo and Maestro), AMEX (American Express), DC (Diner's Club), JCB (Japan Credit Bureau cards) and LASER (Laser cards). To check the you are sending the correct card type, please see the following FAQ: www.sagepay.com/help/faq/how_can_i_test_the_different_card_types	
3055	MALFORMED	The CardType field is required.	You will receive this system message if you have not provided us with a CardType field within your Direct transaction registration POST.  This field is required to indicate the type of card being used by the customer (ie Visa, Mastercard etc) whose card number you have supplied within the CardNumber field.  As you are using the Direct solution and hosting your own payment page you will always need to provide us with the CardType field to enable us to validate the card type matches that of the CardNumber field that has been provided.	Please ensure that you are posting this field with each transaction and that you use the correct value.  Accepted values for the CardType field are: VISA (Visa Credit), MC (Mastercard Debit and Credit), DELTA (Visa Debit), UKE (Visa Electron),  MAESTRO (UK & International Maestro), AMEX (American Express), DC (Diner's Club), JCB (Japan Credit Bureau cards) and LASER (Laser cards).	
3056	INVALID	Invalid Amount field format. The Amount value contains a decimal point.	This system messgae is generated when the currency you have selected in your POST does not support minor currency units. An example would be Japanese Yen (JPY). Only whole numbers of Yen are acceptable. Your POST has a Currency value that does not support minor units, but your Amount field has a decimal point in it.	You will need to check you code and correct one or the other field to fix this problem.	
3057	INVALID	The CV2 format is invalid.	The CV2 value you supplied in the CV2 field is incorrect, it must be a three or four digit number (American Express only), exactly as printed on the card. Any other characters or lengths will produce this error.	Check your code to ensure you are checking the validity of all CV2 numbers entered on your site before forwarding them to Sagepay.	
3058	INVALID	The CardHolder field is required.	You must send the card holder's name in the CardHolder field of your transaction registration POST otherwise you will receive this system message.	You must ensure that you are sending the name of the cardholder only within this field and that no numerics or invalid characters are being posted.	
3059	INVALID	The CardHolder value is too long.	The CardHolder field in the transaction registration POST can only contain up to 50 characters. If the card holder's name is longer than that, just send the first 50 characters in your POST.	You must ensure that you are sending no more than 50 characters within your transaction registration POST and if the cardholder's name is longer than this you will need to send the first 50 characters only.	
3060	INVALID	The GiftAid format is invalid.	The GiftAid field can only contain 1 (Allow Gift Aid) or 0 (Do not Allow it). If you are passing any other characters, or spaces, you will receive this error.	You will need to ensure that your code is passing either a value of 1 (Allow Gift Aid) or 0 (Do not Allow it) within this field. Any other values or characters will not be allowed and will result in this error message.	
3061	INVALID	The AuthCode format invalid.	This system message is only generated if you are attempting a Manual transaction where you are sending the Auth code to us within My Sage Pay. The AuthCode field supplied in a Manual transaction registration can only contain 15 characters or less. It is normally a number, but can contain characters depending on the acquiring bank.	Please ensure you send exactly what was provided to you by your bank during your Code 10 check.	
3062	INVALID	The CardNumber field should only contain numbers. No spaces, hyphens or other characters or separators.	You will receive this system message when the card number details have been entered incorrectly.	You will need to ensure that you are sending numerics only within this field with no spaces between any of the numbers.  You will need to send the long card number only which is situated on the front of the customers card.	cardDetails.cardNumber
3063		The 3DStatus value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3064		The ECI format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3065		The XID format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3066		The CAVV format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3067		The ClientIPAddress is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3068	INVALID	The PaymentSystem invalid.	This system message will be generated when you don't send a valid value within the CardType field in your transaction registration POST. It would only be generated if you have integrated using the Direct method as this field indicates the type of card (Visa, Mastercard etc.) whose number you've supplied in the CardNumber field.	You will need to check to ensure that  the correct value is being submitted.  Accepted values for this field are: VISA (Visa Credit), MC (MasterCard credit), DELTA (Visa debit), UKE (Visa Electron), SOLO, MAESTRO (you can still send SWITCH for older cards), AMEX (American Express), DC (Diner's Club) and JCB (Japan Credit Bureau cards).	
3069	INVALID	The PaymentSystem is not supported on the account.	The card type you sent in the CardType field is not active on your account. Accepted values for this field are: VISA (Visa Credit), MC (MasterCard credit), DELTA (Visa debit), UKE (Visa Electron), MAESTRO (you can still send SWITCH for older cards), AMEX (American Express), DC (Diner's Club) and JCB (Japan Credit Bureau cards). You must have a valid merchant number set up on your Sage Pay account, that support each card type you pass.	Please check with our support team if you are uncertain which cards your account has been set up with.  If you are wishing to add another card type to your account, please check with your acquiring bank first before notifying Sage Pay to ensure that your merchant number has been set up to accept this new card type.  If you are wishing to accept American Express, JCB or Diner cards, it is likely that you will need to contact these merchant acquirers directly to obtain a new merchant number.	
3070		The RelatedVPSTxId is required.		There is a problem with the details that have been supplied. Please check and retry.	
3071		The RelatedVPSTxId format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3072		The TxAuthNo field is missing.		There is a problem with the details that have been supplied. Please check and retry.	
3073		The TxAuthNo format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3074		The SecurityKey is missing.		There is a problem with the details that have been supplied. Please check and retry.	
3075		The SecurityKey format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3076		The NotificationURL is required.		There is a problem with the details that have been supplied. Please check and retry.	
3077		The CustomerName is required.			customerFirstName
3078	INVALID	The CustomerEMail format is invalid.	The CustomerEMail field, if supplied, must contain a valid e-mail address which is less than 255 characters long. Check the content of the field you passed to ensure the e-mail address is valid.	You will need to check your code to ensure that your server is sending a valid e-mail address which does not contain more than 255 characters in length.  You will also need to check the content of this field to ensure that it is valid.	customerEmail
3079		The ClientIPAddress format is invalid. Should not include leading zero's, and only include values in the range of 0 to 255.		There is a problem with the details that have been supplied. Please check and retry.	
3080	INVALID	The VendorTxCode value is too long.	The VendorTxCode should contain your unique reference identifier for your transaction. It should be less than 40 characters long, contain only letters and numbers with no spaces or special characters (except for hyphen(-), underscore (_) or full stop (.))	Please check your code to ensure that you are providing a unique identifier that does not contain more than the maximum number of characters and that there are no unacceptable characters being provided.	
3081		The RelatedVendorTxCode value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3082	INVALID	The Description value is too long.	The Description field can contain up to 100 characters. Your code should send only the first 100 characters if your description is longer than this.	You will need to check your code to ensure that your server does not send more than 100 characters within this field.	
3083		The RelatedTxAuthNo value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3084	INVALID	The FailureURL value is too long.	The FailureURL field must contain a Fully Qualified Domain Name and page reference pointing to the externally visible page on your site which your customers can be returned to if a transaction fails.  This URL must be http:// or https:// and be less than 255 characters long.  Any URL's which are longer will generate this system message.	You will need to ensure that your crypt string contains a Fully Qualified Domain name and page which will allow us to return the customer back to a visible Failure Page on your site once the transaction has been registered as unsuccessful. This URL must be http:// or https:// and be no more than 255 characters in length. Please ensure that you only use a fully qualified URL.	
3085	INVALID	The FailureURL format is invalid.	The FailureURL field must contain a Fully Qualified Domain Name and page reference pointing to the externally visible page on your site which your customers can be returned to if a transaction fails.  This URL must be http:// or https:// and be less than 255 characters long.  You must  check your code to ensure that you only use a fully qualified URL.	You will need to ensure that your crypt string contains a Fully Qualified Domain name and page which will allow us to return the customer back to a visible Failure Page on your site once the transaction has been registered as unsuccessful. This URL must be http:// or https:// and be no more than 255 characters in length. Please ensure that you only ever use a fully qualified URL.	
3086	INVALID	The SuccessURL value is too long.	The SuccessURL field must contain a Fully Qualified Domain Name and page reference pointing to the externally visible page on your site which your customers can be returned to if a transaction succeeds.  This URL must be http:// or https:// and be less than 255 characters long.	You will need to ensure that your crypt string contains a Fully Qualified Domain name and page which will allow us to return the customer back to a visible Success Page on your site once the transaction has been successful. This URL must be http:// or https:// and be no more than 255 characters in length. Please ensure that you only use a fully qualified URL.	
3087	INVALID	The SuccessURL format is invalid.	The SuccessURL field must contain a Fully Qualified Domain Name and page reference pointing to the externally visible page on your site which your customers can be returned to if a transaction succeeds.  This URL must be http:// or https:// and be less than 255 characters long.  Check your code to ensure that you only use a fully qualified URL.	You will need to ensure that your crypt string contains a Fully Qualified Domain name and page which will allow us to return the customer back to a visible Success Page on your site once the transaction has been successful. This URL must be http:// or https:// and be no more than 255 characters in length. Please ensure that you only ever use a fully qualified URL.	
3088	INVALID	The VendorEMail format is invalid.	The VendorEMail field, if supplied when posting your transaction registration, must contain a valid e-mail address which is less than 255 characters in length.  You will need to check the content of the VendorEMail field to ensure that the e-mail address is valid.	You will need to check your code to ensure that you are posting a valid e-mail address which is less than 255 characters in length. You will have to check the content of this field ensuring that no invalid characters are also contained.	
3089	MALFORMED	The BillingAddress is required.	If you have AVS checking turned on within your Sage Pay account, or have provided a BillingPostCode, you must also provide a BillingAddress field.  You will need to ensure that your code is sending the customer's cardholder address to where the card is registered in the BillingAddress field.	You will need to check your code to ensure that you are providing us with a Billing Address field confirming the customer's cardholder address to where the card is registered.  This will be required if you have AVS turned on within your Sage Pay account.	billingAddress.address1
3090		The BillingPostCode is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.postalCode
3091		The BillingAddress and BillingPostCode are required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address1
3092		The DeliveryAddress and DeliveryPostcode are required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingAddress1
3093		The DeliveryAddress is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingAddress1
3094		The DeliveryPostcode is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingPostalCode
3095		The VPSProtocol value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3096		The VPSProtocol value is required.		There is a problem with the details that have been supplied. Please check and retry.	
3097		The VPSProtocol value is outside the valid range. Should be between 2.00 and 2.22.		There is a problem with the details that have been supplied. Please check and retry.	
3098		The VPSProtocol value is not supported by the system in use.		There is a problem with the details that have been supplied. Please check and retry.	
3099	INVALID	The AccountType is not setup on this account.	If you send an AccountType parameter with your POST, you must have an equivalent merchant account set up to handle that type of transaction. For example, if you send M, you must have a MOTO enabled Merchant Number registered with Sage Pay. You will receive this error if you send an AccountType that your Sage Pay account does not support.	You will need to ensure that you have the equivalent merchant account set up with your acquiring bank in order to handle the type of transaction you are attempting to process. If you do not have the relevant merchant number on your account, we would recommend that you contact your merchant acquiring bank to set up. If you do have the merchant number on your account, then please contact our customer services team as there may be an issue with the set up of your Sage Pay account.	
3100	INVALID	The AccountType value is invalid.	The AccountType field can only contain the following values: E for e-commerce, M for MOTO or C for Continuous Authority Any other values will generate this system message.	You will need to check your code to confirm that you are posting one of the following three values only: E for e-commerce, M for MOTO or C for Continuous Authority.  Any other values that are passed will result in this error message.	
3101		The PaymentSystem does not support direct refund.		There is a problem with the details that have been supplied. Please check and retry.	
3102	INVALID	The ReleaseAmount invalid.	The ReleaseAmount field must be a valid amount, formatted to the correct number of decimal places for the chosen currency, AND must be less than or equal to the amount of the original Deferred transaction that you are attempting to Release.	You must ensure that your code is sending a valid amount within this field formatted to the correct number of decimal places for the chosen currency.  The ReleaseAmount field must be less than or equal to the amount of the original Deferred transaction that you are attempting to Release.	
3103		The UserName value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	
3104		Account type selected requires 3D secure authentication to process Maestro or SOLO cards.		There is a problem with the details that have been supplied. Please check and retry.	
3105		Transaction is not allowed without 3D secure authentication.		There is a problem with the details that have been supplied. Please check and retry.	
3106		The PaymentSystem used for the original transaction does not support repeat transactions.		There is a problem with the details that have been supplied. Please check and retry.	
3107		The BillingSurname field is required.		There is a problem with the details that have been supplied. Please check and retry.	customerLastName
3108		The BillingSurname value is too long.		There is a problem with the details that have been supplied. Please check and retry.	customerLastName
3109		The BillingFirstnames field is required.		There is a problem with the details that have been supplied. Please check and retry.	customerFirstName
3110		The BillingFirstnames value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	customerFirstName
3111		The BillingAddress1 field is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address1
3112		The BillingAddress1 value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address1
3113		The BillingAddress2 value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address2
3114		The BillingCity field is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.city
3115		The BillingCity value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.city
3117		The BillingCountry field is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.country
3118		The DeliverySurname field is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.recipientLastName
3119		The DeliverySurname value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.recipientLastName
3120		The DeliveryFirstnames field is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.recipientFirstName
3121		The DeliveryFirstnames value is Too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.recipientFirstName
3122		The DeliveryAddress1 field is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingAddress1
3123		The DeliveryAddress1 value is too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingAddress1
3124		The DeliveryAddress2 value is too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingAddress2
3125		The DeliveryAddress2 value is too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingAddress2
3126		The DeliveryCity value is too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingCity
3128		The DeliveryCountry field is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingCountry
3129		The DeliveryCountry value is too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingCountry
3130	INVALID	The BillingState value is too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.state
3131		The BillingPhone value is too long.		There is a problem with the details that have been supplied. Please check and retry.	customerPhone
3132		The DeliveryState value is too long.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingState
3133		The DeliveryPhone value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3134		The ReferrerID value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3135		The PayPalCallbackURL field is required.		There is a problem with the details that have been supplied. Please check and retry.	
3136		The PayPalCallbackURL value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3137		The PayPalCallbackURL format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3138	INVALID	The BillingState format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.state
3139		The DeliveryState format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingState
3140		The DeliveryCountry value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingCountry
3141		The BillingCountry value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.country
3142		The SendEMail value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3143		The Billing information is required.		There is a problem with the details that have been supplied. Please check and retry.	
3144		The Delivery information is required.		There is a problem with the details that have been supplied. Please check and retry.	
3145	INVALID	The BillingCountry value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3146		The Profile value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3147	MALFORMED	The BillingState field is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.state
3148		The DeliveryState field is required.		There is a problem with the details that have been supplied. Please check and retry.	shippingDetails.shippingState
3149		The Card Firstnames is required.		There is a problem with the details that have been supplied. Please check and retry.	customerFirstName
3150		The Card Firstnames value is too long.		There is a problem with the details that have been supplied. Please check and retry.	customerFirstName
3151		The Card Surname is required.		There is a problem with the details that have been supplied. Please check and retry.	customerLastName
3152		The Card Surname value is too long.		There is a problem with the details that have been supplied. Please check and retry.	customerLastName
3153		The Card AddressLine1 is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address1
3154		The Card AddressLine1 value is too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address1
3155		The Card AddressLine2 value is too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.address2
3156		The Card City field is required.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.city
3157		The Card City value is too long.		There is a problem with the details that have been supplied. Please check and retry.	billingAddress.city
3158		The Card Country field is required.		There is a problem with the details that have been supplied. Please check and retry.	
3159		The Card Country value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3160		The Card Country value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3161		The Card State value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3162		The Card State field is required.		There is a problem with the details that have been supplied. Please check and retry.	
3163		The Accept field is required.		There is a problem with the details that have been supplied. Please check and retry.	
3164		The Accept value is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3165		The paypal callback is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3166		The transaction can not be repeated. Original transaction was not a billing agreement.		There is a problem with the details that have been supplied. Please check and retry.	
3167		The BillingAgreement flag is invalid. If a value is supplied, should contain either 0 or 1.		There is a problem with the details that have been supplied. Please check and retry.	
3168		The PhoneID value is required.		There is a problem with the details that have been supplied. Please check and retry.	
3169		The PhoneID value is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3170		The PhoneID is not registered to any vendor account.		There is a problem with the details that have been supplied. Please check and retry.	
3171		The vendor account does not support direct refund.		There is a problem with the details that have been supplied. Please check and retry.	
3172		The create token value is invalid, should be either 1 or 0.		There is a problem with the details that have been supplied. Please check and retry.	
3173		The Customer data is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3174		The Surcharge data is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3175		The Surcharge XML is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3176		The Customer XML is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3177		The Basket XML is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3178		The Vendor Data is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3179		The crypt string has been encoded incorrectly		There is a problem with the details that have been supplied. Please check and retry.	
3180		The account number is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3181		The account number is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3182		The account number is missing.		There is a problem with the details that have been supplied. Please check and retry.	
3183		The bank code is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3184		The bank code is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3185		The bank code is missing.		There is a problem with the details that have been supplied. Please check and retry.	
3186		Invalid PPRO response status.		There is a problem with the details that have been supplied. Please check and retry.	
3187		The website reference is too long.		There is a problem with the details that have been supplied. Please check and retry.	
3188		The surcharge xml contains a fixed value with the incorrect number of decimal points for the currency.		There is a problem with the details that have been supplied. Please check and retry.	
3189		The vendor data is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3190		The token value format is invalid.		There is a problem with the details that have been supplied. Please check and retry.	
3191		The storetoken value is invalid, If a value is supplied, should contain either 0 or 1.		There is a problem with the details that have been supplied. Please check and retry.	
3192		Cannot find deferred transaction		There is a problem with the details that have been supplied. Please check and retry.	
3193		Cannot create a token from a token transaction.		There is a problem with the details that have been supplied. Please check and retry.	
3194		Must have only one basket field specified		There is a problem with the details that have been supplied. Please check and retry.	
3195		The line item amount details do not add up correctly.		There is a problem with the details that have been supplied. Please check and retry.	
4000	INVALID	The VendorName is invalid or the account is not active.	The VendorName field should only ever contain the Vendor Name supplied by Sage Pay or selected by you during your application process. The VendorName will be upto 16 characters or less and will only contain letters and numbers but no spaces or unusual characters.	You will need to check your code to ensure that you are providing the VPS Vendor Name supplied by Sage Pay during your application process.  Your Vendor Name must contain no more than 16 characters with no spaces or unsual characters.	
4001	INVALID	The VendorTxCode has been used before. All VendorTxCodes should be unique.	Every transaction registration that is sent over to the Sage Pay systems must have its own unique VendorTxCode.  If the VendorTxCode matches that of a previous transaction registration for a successful transaction against your account you will receive this error message.	You must check your code to ensure that you are posting a unique VendorTxCode for each new transaction.  If you are posting over a VendorTxCode that has been used for a previous transaction registration for a successful transaction against your account you will be presented with this error message.	
4002	MALFORMED	An active transaction with this VendorTxCode has been found but the Amount is different.		There is a problem with the details that have been supplied. Please check and retry.	
4003	MALFORMED	An active transaction with this VendorTxCode has been found but the Currency is different.		There is a problem with the details that have been supplied. Please check and retry.	
4004	MALFORMED	An active transaction with this VendorTxCode has been found but the TxType is different.		There is a problem with the details that have been supplied. Please check and retry.	
4005	MALFORMED	An active transaction with this VendorTxCode has been found but the some data fields are different.		There is a problem with the details that have been supplied. Please check and retry.	
4006	INVALID	The TxType requested is not supported on this account.	The TxType field (also called PaymentType in very old protocols) should contain the type of transaction you wish to perform. Values such as PAYMENT, DEFERRED, REFUND etc. as outlined in our Protocols. If any other value is passed within this field, the Sage Pay system will not be able to identify how to process the transaction.	Please ensure that you are sending the correct value in the TxType field.  More information on the different TxTypes can be found within the protocol document.	
4007		The TxType requested is not active on this account.		Please ensure that you are sending the correct value in the TxType field.  More information on the different TxTypes can be found within the protocol document.	
